Order,ID,Strain,Family,Sex,Timepoint,Pass,Weight,Dose,Inj. Time,Blood Time,Color,BEC,TIMEHOUR,
99,5.1,iHDID-1,IB504.K,F,180,B,21.6,0.34,00:18:00,03:18:00,White,0.950391,3,
100,42.1,HS/Npt,1541,F,180,B,24,0.38,00:20:00,03:20:00,Black,1.14107,3,
101,47.5,HS/Npt,1546,F,180,B,27.2,0.43,00:22:00,03:22:00,White,0.641115,3,
102,10.3,iHDID-1,IB504.E(2),M,180,B,24.8,0.4,00:24:00,03:24:00,White,0.994545,3,
103,13.1,iHDID-1,IB504.K,M,180,B,23.2,0.36,00:26:00,03:26:00,White,0.708444,3,
104,51.1,HS/Npt,1527,M,180,B,26.4,0.42,00:28:00,03:28:00,White,0.257779,3,
105,23.2,iHDID-2,IB529B,F,180,B,20.6,0.32,00:30:00,03:30:00,Black,0.847445,3,
106,49.1,HS/Npt,1526,M,180,B,28.8,0.46,00:32:00,03:32:00,Black,1.41796,3,
107,2.1,iHDID-1,IB504.A,F,180,B,22.5,0.36,00:34:00,03:34:00,White,2.47969,3,
108,35.1,iHDID-2,IB529B(3),M,180,B,25.4,0.4,00:36:00,03:36:00,Brown,0.928129,3,got injected w/ 0.43
109,9.1,iHDID-1,IB504.F,M,180,B,28.1,0.44,00:38:00,03:38:00,White,1.25618,3,
110,28.1,iHDID-2,IB534B(3),F,180,B,22.9,0.36,00:40:00,03:40:00,Dilute Brown,0.445264,3,
111,21.1,iHDID-2,IB558,F,180,B,24.2,0.38,00:42:00,03:42:00,?,0.616019,3,
112,26.1,iHDID-2,IB553,F,180,B,21.3,0.34,00:44:00,03:44:00,Dilute Brown,0.875624,3,
113,52.3,HS/Npt,1528,M,180,B,29.4,0.47,00:46:00,03:46:00,Black,1.49346,3,
114,7.3,iHDID-1,IB504.D(2),F,180,B,20.7,0.32,00:48:00,03:48:00,White,0.9033,3,
115,14.3,iHDID-1,IB504.K,M,180,B,24.7,0.39,00:50:00,03:50:00,White,0.626513,3,
116,19.1,iHDID-2,IB534B(2),F,180,B,24.1,0.38,00:52:00,03:52:00,Dilute Brown,0.640684,3,
117,43.2,HS/Npt,1507,F,180,B,21.6,0.34,00:54:00,03:54:00,Black,0,3,
118,32.2,iHDID-2,IB534B(2),M,180,B,,,00:56:00,03:56:00,,,3,
119,48.2,HS/Npt,1542,F,120,B,21.8,0.35,01:00:00,03:00:00,White,2.05284,2,
120,44.2,HS/Npt,1534,F,120,B,22.4,0.36,01:02:00,03:02:00,Brown,2.03299,2,
121,18.2,iHDID-1,IB504.D(2),M,120,B,26.2,0.41,01:04:00,03:04:00,White,2.26836,2,
122,56.3,HS/Npt,1513,M,120,B,31.3,0.5,01:06:00,03:06:00,Black,1.49668,2,
123,10.2,iHDID-1,IB504.E(2),M,120,B,28,0.44,01:08:00,03:08:00,White,3.16527,2,
124,1.5,iHDID-1,IB504.E(2),F,120,B,22.2,0.35,01:10:00,03:10:00,White,4.24115,2,
125,39.1,iHDID-2,IB552,M,120,B,28.6,0.45,01:12:00,03:12:00,Black,2.16781,2,
126,23.1,iHDID-2,IB529B,F,120,B,23.3,0.37,01:14:00,03:14:00,Black,2.01671,2,
127,14.2,iHDID-1,IB504.K,M,120,B,26.6,0.42,01:16:00,03:16:00,White,1.90396,2,
128,37.3,iHDID-2,IB534B(3),M,120,B,29.1,0.46,01:18:00,03:18:00,Dilute Brown,2.15275,2,
129,34.2,iHDID-2,IB558,M,120,B,32,0.51,01:20:00,03:20:00,Brown,2.39885,2,
130,45.3,HS/Npt,1538,F,120,B,22.5,0.36,01:22:00,03:22:00,Black,2.42995,2,
131,25.2,iHDID-2,IB552,F,120,B,23.4,0.37,01:24:00,03:24:00,Black,2.08438,2,
132,16.2,iHDID-1,IB504.F,M,120,B,26.4,0.42,01:26:00,03:26:00,White,2.60021,2,
133,12.2,iHDID-1,IB504.F(2),M,120,B,27.8,0.44,01:28:00,03:28:00,White,1.60638,2,
134,4.3,iHDID-1,IB504.K,F,120,B,21.9,0.35,01:30:00,03:30:00,White,2.3638,2,
135,42.3,HS/Npt,1541,F,120,B,24.8,0.4,01:32:00,03:32:00,Black,1.80842,2,
136,3.2,iHDID-1,IB504.F(2),F,120,B,21,0.33,01:34:00,03:34:00,White,2.722,2,
137,27.3,iHDID-2,IB529B(2),F,120,B,21,0.33,01:36:00,03:36:00,Brown,2.18372,2,
138,20.3,iHDID-2,IB534B(2),F,120,B,24.4,0.39,01:38:00,03:38:00,?,1.97727,2,
139,54.4,HS/Npt,1538,M,120,B,30.7,0.48,01:40:00,03:40:00,Black,3.21209,2,
140,37.1,iHDID-2,IB534B(3),M,120,B,28.8,0.46,01:42:00,03:42:00,Black,2.52453,2,
141,53.2,HS/Npt,1534,M,120,B,30.3,0.48,01:44:00,03:44:00,Brown,1.86168,2,
142,49.3,HS/Npt,1526,M,120,B,24.5,0.39,01:46:00,03:46:00,Black,2.70351,2,
143,8.4,iHDID-1,IB504.D(2),F,120,B,24.7,0.39,01:48:00,03:48:00,White,2.77016,2,
144,47.1,HS/Npt,1546,F,120,B,29,0.46,01:50:00,03:50:00,Black,2.93164,2,
145,7.2,iHDID-1,IB504.D(2),F,120,B,21.6,0.34,01:52:00,03:52:00,White,2.50533,2,
146,29.3,iHDID-2,IB557,F,120,B,21.8,0.35,01:54:00,03:54:00,Dilute Brown,2.05396,2,
147,41.3,iHDID-2,IB557,M,120,B,20.5,0.32,01:56:00,03:56:00,Dilute Brown,1.99915,2,
148,51.3,HS/Npt,1527,M,120,B,29.5,0.47,01:58:00,03:58:00,Black,1.26905,2,
149,47.3,HS/Npt,1546,F,60,B,29.7,0.47,02:00:00,03:00:00,White,2.30539,1,
